Date,AAPL,BAC,DIS,FB,INTC,JNJ,JPM,MSFT,TSLA,V,high_1,high_2,high_3,low_3,low_2,low_1,Total_by_highest,high_3_unit,high_2_unit,high_1_unit,Total_by_lowest,low_3_unit,low_2_unit,low_1_unit
2015-03-02,119.07823191259607,14.804967335984347,99.28218739383517,79.75,29.838469425336786,90.60853290168745,54.49294683039204,39.67397015528245,197.325,67.32611177753239,TSLA,AAPL,DIS,MSFT,INTC,BAC,102.63813408320945,0.34460070088256556,0.28731289347814715,0.17338254839006623,92.92596830874723,0.7807467376808055,1.0381002566867683,2.0922249989903765
2015-03-03,119.32729165863684,14.832709311004928,99.71348219222185,79.6,29.86913138745912,89.83605170663336,54.66938505875659,39.131481958081686,199.56,66.60274739428174,TSLA,AAPL,DIS,MSFT,INTC,BAC,103.24582664495621,0.3451416477660962,0.2884107656341648,0.17245578045860263,92.59229506296153,0.7887280728949304,1.0333108771713106,2.0808132693210206
2015-03-04,118.570887985476,14.693999435902017,98.9821562297401,80.895,29.891032788975075,89.23035622414774,54.81053564144823,38.9280488841314,202.435,66.2277591688508,TSLA,AAPL,DIS,MSFT,INTC,BAC,103.27107100352481,0.34777672709624563,0.2903216035518339,0.17004811586192245,92.16584329429335,0.7891982425373475,1.0277981353690746,2.0907818799625897
2015-03-05,116.60608332226562,14.8424236726283,98.47585364032967,81.21,29.54937092532618,89.9940592238035,54.695850793011275,38.9777769688748,200.63,66.31969176605323,TSLA,AAPL,DIS,MSFT,INTC,BAC,102.21762865643916,0.34599895939897385,0.2922021039958355,0.16982775699287106,92.16425188968714,0.7881777691194285,1.0396640041575864,2.0698383211643105
2015-03-06,116.781347587998,15.046506998126938,97.34136080109516,80.005,29.076300652581555,87.87851413280305,53.716618625588005,38.29966672237385,193.88,65.16085718552795,TSLA,AAPL,DIS,MSFT,INTC,BAC,100.72997054211885,0.34493720419609325,0.28751729228053313,0.17318267406319865,91.56036582220113,0.7968769587988218,1.0496562924356736,2.0283858535760495
2015-03-09,117.27946708007951,15.000124424149977,98.691501039523,79.44,28.66455430408161,88.36131487971187,54.254755222099895,38.742698750087804,190.88,65.66406719126753,TSLA,AAPL,DIS,MSFT,INTC,BAC,100.81935408664063,0.34052021712340924,0.2865501711332534,0.1760606211348153,91.38713393459862,0.7862740325525336,1.0627194009383896,2.0308083531064294
2015-03-10,114.8534406649418,14.647616861925053,96.6569147080033,77.55,27.770977122230654,87.3693787996992,52.89618086369284,38.00129821391343,190.32,64.15927573179628,TSLA,AAPL,DIS,MSFT,INTC,BAC,99.33276407500821,0.3425613310580298,0.28828845846185386,0.17397499662849975,89.13869283599577,0.781891646036445,1.069926257229654,2.0285141188553446
2015-03-11,112.75949391119175,14.944465335377618,96.46939523044387,77.57,28.322892440432714,86.3072171564998,53.14319438340321,37.956090864146695,193.74,64.05040818247763,TSLA,AAPL,DIS,MSFT,INTC,BAC,99.25986095990581,0.3429753057011713,0.29342647055535115,0.17077846763687726,90.29601559714453,0.7929866111197988,1.0626976721751447,2.0140347071810654
2015-03-12,114.79809405471052,14.925912305786834,100.48231205021547,78.93,26.982526667656284,87.63272466164948,54.14007037366293,37.08810974862548,191.07,65.2189198784979,TSLA,AAPL,DIS,MSFT,INTC,BAC,100.77839306931624,0.33431553279729737,0.2926250471873027,0.1758140874536666,88.14594816171943,0.7922210897162822,1.0889262922805916,1.968521730439327
2015-03-13,114.00479264139553,14.925912305786834,99.79786595712358,78.05,27.096413955539248,87.08847654695225,53.81365965118851,37.413602666945934,188.68,64.11814799094256,TSLA,AAPL,DIS,MSFT,INTC,BAC,99.89723657651388,0.33366523962691075,0.29208490351437166,0.17648441201419313,88.52782537829849,0.7887311839169733,1.0890472508472655,1.9770500135297349
2015-03-16,115.25931580663784,14.963018364968404,100.66983152777489,78.07,27.008808349475427,88.71244269564556,54.56352212173786,37.576349126106166,195.7,65.083440261568,TSLA,AAPL,DIS,MSFT,INTC,BAC,101.79352902760765,0.3370540690055118,0.29438988167741464,0.17338362975235508,88.63414247607457,0.786258240776386,1.0938918065692946,1.974515665092142
2015-03-17,117.18722272969406,14.925912305786834,100.28541659877807,79.365,26.798554894922262,87.68539383403953,54.3517962477004,37.698408970476336,194.73,63.989926210633925,TSLA,AAPL,DIS,MSFT,INTC,BAC,102.06333458170661,0.339242859840202,0.29031417192733705,0.17470914356922684,88.42685200821606,0.7818796108651687,1.0998957761583257,1.9747950230582694
2015-03-18,118.50631694020619,14.823870643037514,101.23238996045315,80.91,27.06137171311372,89.06357051157923,54.47530300755558,38.42624730172069,200.71,64.75683761361203,TSLA,AAPL,DIS,MSFT,INTC,BAC,103.81230095507672,0.3418283449780959,0.2920021582969187,0.1724084515886548,89.08349369991237,0.7727660124292464,1.0973020220398169,2.0031541434097524
2015-03-19,117.60693452394791,14.480639595607984,100.66983152777489,82.75,26.92996330401799,89.26546900574111,53.99009787955307,38.23185569772375,195.65,64.65280862204088,TSLA,AAPL,DIS,MSFT,INTC,BAC,102.48499416536055,0.3393436166858153,0.29047321792772873,0.17460600420029057,88.10153506742282,0.7681337413489995,1.090501981910461,2.028030472128783
2015-03-20,116.13563713529976,14.693999435902017,101.66368475883982,83.8,27.42931525858176,89.88872087902341,54.47530300755558,38.76982315994785,198.08,65.23343555174038,TSLA,AAPL,DIS,MSFT,INTC,BAC,102.81917201844243,0.3371219272720755,0.2951123202566339,0.1730263395571527,89.49201058067253,0.7694301330828571,1.0875470245005274,2.0301259928370414
2015-03-23,117.34403812534933,14.582681258357304,101.46678930740242,84.43,27.33294909191156,90.39785621212725,53.9371664110437,38.74721948506448,199.63,64.91409074040565,TSLA,AAPL,DIS,MSFT,INTC,BAC,103.37759909067029,0.3396106246398806,0.29365956930918014,0.1726153368576371,89.14382596856538,0.7668836383896467,1.0871351114096097,2.037664276530702
2015-03-24,116.86436750334492,14.480639595607984,100.42605620694765,85.31,26.9737661070499,89.50248028149635,53.33727643460422,38.78790609985453,201.72,64.93344497139563,TSLA,AAPL,DIS,MSFT,INTC,BAC,103.24406125810583,0.34268683234077263,0.2944840058715951,0.1706062219216502,88.57662078258323,0.7612047988579567,1.0946020716456142,2.038966584722974
2015-03-25,113.81107950558604,14.295109299700131,98.44772571869575,82.92,26.185315652475527,88.08041262696493,52.58741396405487,37.485934426572705,194.3,63.60768014858175,TSLA,AAPL,DIS,MSFT,INTC,BAC,100.40107080244528,0.3399471481590511,0.2940576940856841,0.17224407411639261,86.34422412212707,0.7677921994204501,1.0991430625732428,2.013374465161506
